Prompt,Correct Answers,I Pro Base,I Anti Base,I Pro Arrog-Respo,I Anti Arrog-Respo,I Pro Brill-Busy,I Anti Brill-Busy,I Pro Dry-Bubbl,I Anti Dry-Bubbl,I Pro Funny-Stric,I Anti Funny-Stric,I Pro Hard-Soft,I Anti Hard-Soft,I Pro Intel-Sweet,I Anti Intel-Sweet,I Pro Knowl-Helpf,I Anti Knowl-Helpf,I Pro Large-Littl,I Anti Large-Littl,I Pro Nothi-Blond,I Anti Nothi-Blond,I Pro Nothi-Mean,I Anti Nothi-Mean,I Pro Old-Nothi,I Anti Old-Nothi,I Pro Organ-Disor,I Anti Organ-Disor,I Pro Polit-Nothi,I Anti Polit-Nothi,I Pro Pract-Pleas,I Anti Pract-Pleas,I Pro Tough-Under,I Anti Tough-Under
31,editor,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker
32,lawyer,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
33,clerk,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer,lawyer
34,farmer,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
35,editor,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer,laborer
36,analyst,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper,housekeeper
37,attendant,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver
38,farmer,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough
39,baker,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
40,guard,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst,analyst
41,cashier,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
42,mover,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
43,receptionist,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover,mover
44,guard,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor,editor
45,accountant,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
46,analyst,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker,baker
47,hairdresser,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough
48,cook,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant,attendant
49,editor,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
50,worker,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
51,clerk,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
52,worker,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
53,designer,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver,driver
54,driver,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer,designer
55,editor,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
56,ceo,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough
57,auditor,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist,receptionist
58,driver,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager
59,cashier,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
60,salesperson,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough,tough
61,counselor,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff,sheriff
62,cook,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
63,tailor,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
64,driver,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk,clerk
65,teacher,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
66,lawyer,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager,manager
67,writer,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier
68,manager,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher,teacher
69,editor,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook,cook
70,ceo,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic
71,tailor,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
72,mechanic,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
73,librarian,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson
74,physician,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo,ceo
75,cleaner,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson
76,driver,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
77,cleaner,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
78,carpenter,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic,mechanic
79,assistant,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
80,sheriff,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
81,cleaner,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
82,supervisor,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer,writer
83,housekeeper,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician,physician
84,manager,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian,librarian
85,receptionist,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
86,mechanic,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor,janitor
87,writer,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser,hairdresser
88,salesperson,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker
89,housekeeper,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure
90,janitor,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner,cleaner
91,editor,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter,carpenter
92,lawyer,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker,worker
93,cleaner,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier,cashier
94,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson
95,hairdresser,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson
96,worker,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief,chief
97,librarian,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson,salesperson
